CommitteeName|CommitteeType|Link|Header|Chair|CoChair|ViceChair|CommitteeClerk|LegislativeCouncilStaff|Members|OtherMembers|Hearings
Senate Committee on Elections and Local Government|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1373|2015 Senate Committee on Elections and Local Government|Senator LeMahieu||Senator Kapenga; Senator Kapenga|Luke Petrovich|Katie Bender-Olson; Brian Larson|Senator Wanggaard; Senator Risser; Senator Miller||3/11/2016 3:00 PM - Executive Session ; 3/8/2016 12:00 PM - Executive Session ; 3/1/2016 12:01 PM - Public Hearing ; 3/1/2016 12:00 PM - Executive Session ; 2/3/2016 1:01 PM - Executive Session ; 2/3/2016 1:00 PM - Public Hearing ; 1/26/2016 1:01 PM - Public Hearing (Revised); 1/26/2016 1:00 PM - Executive Session (Revised); 1/14/2016 9:31 AM - Public Hearing ; 1/14/2016 9:30 AM - Executive Session ; 11/23/2015 1:00 PM - Public Hearing ; 10/22/2015 1:00 PM - Executive Session ; 10/13/2015 9:00 AM - Public Hearing ; 9/23/2015 11:00 AM - Public Hearing ; 6/3/2015 9:30 AM - Executive Session ; 5/28/2015 10:30 AM - Public Hearing (Revised); 4/23/2015 1:01 PM - Public Hearing ; 4/23/2015 1:00 PM - Executive Session ; 4/16/2015 10:00 AM - Executive Session ; 4/9/2015 12:00 PM - Public Hearing ; 3/24/2015 9:00 AM - Public Hearing (Revised)
Senate Committee on Sporting Heritage, Mining and Forestry|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1374|2015 Senate Committee on Sporting Heritage, Mining and Forestry|Senator Tiffany||Senator Roth; Senator Roth|Mitchel Ohly|Rachel Letzing; Anna Henning|Senator Moulton; Senator Wirch; Senator Vinehout||2/9/2016 9:00 AM - Executive Session ; 2/2/2016 9:01 AM - Public Hearing ; 2/2/2016 9:00 AM - Executive Session ; 1/14/2016 9:00 AM - Executive Session ; 1/5/2016 10:01 AM - Public Hearing (Revised); 1/5/2016 10:00 AM - Executive Session ; 12/9/2015 10:00 AM - Public Hearing ; 10/30/2015 4:30 PM - Executive Session ; 10/28/2015 10:00 AM - Public Hearing (Revised); 8/25/2015 11:00 AM - Public Hearing ; 2/6/2015 3:00 PM - Public Hearing
Senate Committee on Education Reform and Government Operations (Disbanded 4-22-15)|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1372|2015 Senate Committee on Education Reform and Government Operations (Disbanded 4-22-15)|||Senator Harsdorf; Senator Harsdorf|Jenna Zantow|Dan Schmidt; Katie Bender-Olson|Senator Nass; Senator Harris Dodd; Senator Vinehout||4/16/2015 12:31 PM - Executive Session ; 4/16/2015 12:30 PM - Public Hearing ; 4/2/2015 9:30 AM - Public Hearing ; 3/12/2015 11:05 AM - Executive Session ; 3/12/2015 11:00 AM - Public Hearing ; 3/10/2015 9:30 AM - Public Hearing ; 1/27/2015 9:05 AM - Executive Session ; 1/27/2015 9:00 AM - Public Hearing (Revised)
Senate Committee on Insurance, Housing, and Trade|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1375|2015 Senate Committee on Insurance, Housing, and Trade|Senator Lasee||Senator Olsen; Senator Olsen|Robert Kovach|David Moore; Larry Konopacki|Senator Roth; Senator Bewley; Senator Harris Dodd||3/3/2016 12:00 PM - Executive Session ; 2/10/2016 10:01 AM - Executive Session ; 2/10/2016 10:00 AM - Public Hearing ; 1/27/2016 10:01 AM - Executive Session ; 1/27/2016 10:00 AM - Public Hearing ; 1/5/2016 11:00 AM - Public Hearing ; 10/15/2015 12:30 PM - Executive Session ; 10/6/2015 10:01 AM - Executive Session ; 10/6/2015 10:00 AM - Public Hearing ; 6/30/2015 1:01 PM - Executive Session (Revised); 6/30/2015 1:00 PM - Public Hearing (Revised); 5/20/2015 12:00 PM - Executive Session ; 5/13/2015 1:00 PM - Public Hearing ; 1/20/2015 2:31 PM - Executive Session ; 1/20/2015 2:30 AM - Public Hearing
Senate Committee on Economic Development and Commerce|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1371|2015 Senate Committee on Economic Development and Commerce|||Senator Petrowski; Senator Petrowski|Tim Lakin|Scott Grosz; David Moore|Senator Darling; Senator Lassa; Senator Ringhand||2/17/2016 10:01 AM - Executive Session ; 2/17/2016 10:00 AM - Public Hearing ; 1/27/2016 2:00 PM - Executive Session ; 1/19/2016 1:01 PM - Public Hearing ; 1/19/2016 1:00 PM - Executive Session ; 1/11/2016 2:00 PM - Public Hearing (Revised); 10/26/2015 2:00 PM - Public Hearing ; 10/15/2015 10:00 AM - Executive Session ; 10/14/2015 3:00 PM - Public Hearing ; 10/12/2015 2:00 PM - Public Hearing ; 10/8/2015 3:00 PM - Public Hearing ; 10/5/2015 2:00 PM - Public Hearing ; 9/24/2015 2:00 PM - Public Hearing ; 5/20/2015 10:01 AM - Executive Session (Revised); 5/20/2015 10:00 AM - Public Hearing (Revised); 5/13/2015 10:01 AM - Public Hearing (Cancelled); 5/13/2015 10:00 AM - Executive Session (Cancelled); 4/28/2015 10:01 AM - Public Hearing ; 4/28/2015 10:00 AM - Executive Session ; 4/23/2015 10:01 AM - Public Hearing ; 4/23/2015 10:00 AM - Executive Session ; 3/25/2015 1:30 PM - Public Hearing ; 1/20/2015 2:35 PM - Executive Session (Revised); 1/20/2015 2:30 PM - Public Hearing (Revised)
Senate Committee on Senate Organization|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1369|2015 Senate Committee on Senate Organization|Senator S. Fitzgerald|||Jeff Renk||Senator Lazich; Senator Vukmir; Senator Shilling; Senator Hansen||3/17/2016 2:00 PM - Public Hearing (Cancelled); 2/23/2015 9:00 AM - Executive Session
Senate Committee on Universities and Technical Colleges|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1370|2015 Senate Committee on Universities and Technical Colleges|Senator Harsdorf||Senator Nass; Senator Nass||Dan Schmidt; Scott Grosz|Senator Hansen; Senator Bewley||3/9/2016 12:00 PM - Executive Session ; 3/3/2016 10:01 AM - Public Hearing (Revised); 3/3/2016 10:00 AM - Executive Session ; 2/17/2016 9:30 AM - Public Hearing ; 1/28/2016 9:31 AM - Public Hearing ; 1/28/2016 9:30 AM - Executive Session ; 1/19/2016 10:01 AM - Executive Session ; 1/19/2016 10:00 AM - Public Hearing ; 1/14/2016 9:02 AM - Executive Session ; 1/14/2016 9:01 AM - Public Hearing ; 1/14/2016 9:00 AM - Public Hearing ; 10/21/2015 9:00 AM - Executive Session ; 10/7/2015 10:00 AM - Public Hearing ; 9/17/2015 10:30 AM - Public Hearing (Revised); 6/5/2015 10:00 AM - Executive Session ; 6/4/2015 9:00 AM - Public Hearing (Revised)
Senate Committee on Finance|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1367|2015 Senate Committee on Finance|Senator Darling||Senator Olsen; Senator Olsen|||Senator Harsdorf; Senator Marklein; Senator Tiffany; Senator Vukmir; Senator L. Taylor; Senator Erpenbach||
Senate Committee on Health and Human Services|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1368|2015 Senate Committee on Health and Human Services|Senator Vukmir||Senator Moulton; Senator Moulton|Mattias Gugel|Brian Larson|Senator LeMahieu; Senator Carpenter; Senator Erpenbach||12/8/2016 9:00 AM - Public Hearing ; 5/24/2016 10:00 AM - Public Hearing ; 3/3/2016 10:01 AM - Executive Session ; 3/3/2016 10:00 AM - Public Hearing ; 2/12/2016 3:45 PM - Executive Session ; 2/11/2016 11:01 AM - Executive Session ; 2/11/2016 11:00 AM - Public Hearing (Revised); 2/3/2016 12:01 PM - Public Hearing ; 2/3/2016 12:00 PM - Executive Session ; 1/28/2016 11:01 AM - Public Hearing ; 1/28/2016 11:00 AM - Executive Session ; 1/6/2016 1:01 PM - Executive Session (Revised); 1/6/2016 1:00 PM - Public Hearing (Revised); 11/5/2015 11:00 AM - Executive Session ; 10/22/2015 10:31 AM - Executive Session ; 10/22/2015 10:30 AM - Public Hearing ; 10/13/2015 10:01 AM - Executive Session (Revised); 10/13/2015 10:00 AM - Public Hearing (Revised); 9/22/2015 10:00 AM - Public Hearing ; 6/4/2015 12:00 PM - Executive Session ; 6/2/2015 10:00 AM - Public Hearing (Revised); 5/20/2015 10:31 AM - Executive Session (Revised); 5/20/2015 10:30 AM - Public Hearing ; 4/1/2015 10:01 AM - Executive Session ; 4/1/2015 10:00 AM - Public Hearing ; 3/12/2015 12:01 PM - Executive Session ; 3/12/2015 12:00 PM - Public Hearing (Revised); 2/18/2015 9:01 AM - Executive Session (Revised); 2/18/2015 9:00 AM - Public Hearing (Revised); 2/11/2015 2:00 PM - Public Hearing ; 1/27/2015 12:01 PM - Executive Session ; 1/27/2015 12:00 PM - Public Hearing
Senate Committee on Education|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1366|2015 Senate Committee on Education|Senator Olsen||Senator Darling; Senator Darling|Jenna Zantow|Katie Bender-Olson; Rachel Snyder|Senator Vukmir; Senator Nass; Senator C. Larson; Senator Risser; Senator Bewley||3/8/2016 10:00 AM - Executive Session ; 3/3/2016 1:01 PM - Public Hearing ; 3/3/2016 1:00 PM - Executive Session ; 2/15/2016 9:30 AM - Executive Session ; 2/2/2016 9:01 AM - Public Hearing ; 2/2/2016 9:00 AM - Executive Session ; 1/27/2016 9:01 AM - Executive Session ; 1/27/2016 9:00 AM - Public Hearing ; 1/22/2016 9:00 AM - Executive Session ; 1/21/2016 10:00 AM - Public Hearing ; 1/14/2016 9:00 AM - Executive Session ; 1/6/2016 12:01 PM - Public Hearing ; 1/6/2016 12:00 PM - Public Hearing (Revised); 9/29/2015 1:01 PM - Executive Session ; 9/29/2015 1:00 PM - Public Hearing ; 9/10/2015 4:00 PM - Executive Session ; 9/8/2015 1:00 PM - Public Hearing (Revised); 4/23/2015 2:00 PM - Executive Session ; 3/5/2015 9:00 AM - Public Hearing ; 1/21/2015 12:05 PM - Executive Session ; 1/21/2015 12:00 PM - Public Hearing
